variant_name,node_id,canonical_name,actor_type,weighted_degree,pagerank,betweenness,direct_record_count,third_party_record_count,review_flags
cicero_removed_graph,actor_quintus_cicero,Quintus Cicero,family_or_household,16.000000,0.032701,0.100963,7,2,unexpected_actor_type_high_centrality
cicero_removed_graph,actor_atticus,Atticus,individual,27.000000,0.027022,0.212056,8,18,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_cluvius,Cluvius,professional_financier,7.000000,0.021153,0.035606,4,0,unexpected_actor_type_high_centrality
cicero_removed_graph,actor_tiro,Tiro,freedman_or_agent,8.000000,0.012513,0.049995,2,5,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_amici,amici,collective_group,2.000000,0.011234,0.007403,2,0,unexpected_actor_type_high_centrality
cicero_removed_graph,actor_roman_state,Roman state,public_body,2.000000,0.010350,0.000000,1,0,unexpected_actor_type_high_centrality
cicero_removed_graph,actor_publicani,publicani,collective_group,2.000000,0.010350,0.000000,1,0,unexpected_actor_type_high_centrality
cicero_removed_graph,actor_terentia,Terentia,family_or_household,5.000000,0.007735,0.032061,2,3,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_camillus,Camillus,individual,3.000000,0.006117,0.000313,1,2,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_faberius,Faberius,individual,3.000000,0.005594,0.035554,1,2,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_hermogenes,Hermogenes,individual,2.000000,0.003926,0.028360,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_q_paconius_lepta,Q. Paconius Lepta,individual,2.000000,0.003926,0.021583,0,2,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_eros,Eros,freedman_or_agent,4.000000,0.003926,0.014701,0,4,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_q_axius,Q. Axius,individual,3.000000,0.003926,0.007403,1,2,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_verres,Verres,individual,4.000000,0.003926,0.000452,0,2,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_hermippus,Hermippus,individual,3.000000,0.003926,0.000052,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_roman_state_grain_funds,Roman state grain funds,public_body,3.000000,0.003926,0.000035,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_l_lucullus,L. Lucullus,individual,3.000000,0.003926,0.000026,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_l_pontius,L. Pontius,individual,3.000000,0.003926,0.000026,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_p_scipio,P. Scipio,individual,3.000000,0.003926,0.000026,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_cluvius_procurators,Cluvius procurators,collective_group,3.000000,0.003926,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_appius_claudius,Appius Claudius,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_appuleius,Appuleius,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_ateius_capito,Ateius Capito,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_d_iunius_brutus,D. Iunius Brutus,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_l_culleolus,L. Culleolus,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_l_ligus,L. Ligus,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_matinius,Matinius,professional_financier,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_minucius_thermus,Minucius Thermus,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_pomponia,Pomponia,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_q_titinius,Q. Titinius,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_scaptius,Scaptius,professional_financier,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_senate,Senate,public_body,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_servilius,Servilius,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_sex_naevius,Sex. Naevius,individual,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_tullia,Tullia,family_or_household,2.000000,0.003926,0.000000,0,3,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_procuratores,procuratores,collective_group,2.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_balbus,Balbus,individual,1.000000,0.003926,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_brutus_albinus,Brutus Albinus,individual,1.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_cn_sallustius,Cn. Sallustius,individual,1.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_meton,Meton,individual,1.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_ser_sulpicius_galba,Ser. Sulpicius Galba,individual,1.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_varro,Varro,individual,1.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_xeno,Xeno,individual,1.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
cicero_removed_graph,actor_provincial_governor,provincial governor,public_body,1.000000,0.003926,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_quintus_cicero,Quintus Cicero,family_or_household,16.000000,0.032851,0.106851,7,2,unexpected_actor_type_high_centrality
ciceronian_period_cicero_removed_graph,actor_atticus,Atticus,individual,27.000000,0.028600,0.233509,8,18,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_cluvius,Cluvius,professional_financier,7.000000,0.022834,0.039518,4,0,unexpected_actor_type_high_centrality
ciceronian_period_cicero_removed_graph,actor_amici,amici,collective_group,2.000000,0.011838,0.008221,2,0,unexpected_actor_type_high_centrality
ciceronian_period_cicero_removed_graph,actor_roman_state,Roman state,public_body,2.000000,0.011186,0.000000,1,0,unexpected_actor_type_high_centrality
ciceronian_period_cicero_removed_graph,actor_publicani,publicani,collective_group,2.000000,0.011186,0.000000,1,0,unexpected_actor_type_high_centrality
ciceronian_period_cicero_removed_graph,actor_terentia,Terentia,family_or_household,5.000000,0.008329,0.035526,2,3,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_camillus,Camillus,individual,3.000000,0.006603,0.000352,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_faberius,Faberius,individual,3.000000,0.006046,0.039460,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_tiro,Tiro,freedman_or_agent,6.000000,0.005522,0.055432,2,5,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_hermogenes,Hermogenes,individual,2.000000,0.004243,0.031474,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_q_paconius_lepta,Q. Paconius Lepta,individual,2.000000,0.004243,0.023958,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_eros,Eros,freedman_or_agent,4.000000,0.004243,0.016324,0,4,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_q_axius,Q. Axius,individual,3.000000,0.004243,0.008221,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_verres,Verres,individual,4.000000,0.004243,0.000509,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_hermippus,Hermippus,individual,3.000000,0.004243,0.000059,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_roman_state_grain_funds,Roman state grain funds,public_body,3.000000,0.004243,0.000039,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_l_lucullus,L. Lucullus,individual,3.000000,0.004243,0.000029,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_l_pontius,L. Pontius,individual,3.000000,0.004243,0.000029,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_p_scipio,P. Scipio,individual,3.000000,0.004243,0.000029,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_cluvius_procurators,Cluvius procurators,collective_group,3.000000,0.004243,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_appius_claudius,Appius Claudius,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_appuleius,Appuleius,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_ateius_capito,Ateius Capito,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_d_iunius_brutus,D. Iunius Brutus,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_l_culleolus,L. Culleolus,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_l_ligus,L. Ligus,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_matinius,Matinius,professional_financier,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_minucius_thermus,Minucius Thermus,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_pomponia,Pomponia,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_q_titinius,Q. Titinius,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_scaptius,Scaptius,professional_financier,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_senate,Senate,public_body,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_servilius,Servilius,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_sex_naevius,Sex. Naevius,individual,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_tullia,Tullia,family_or_household,2.000000,0.004243,0.000000,0,3,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_procuratores,procuratores,collective_group,2.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_balbus,Balbus,individual,1.000000,0.004243,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_brutus_albinus,Brutus Albinus,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_cn_sallustius,Cn. Sallustius,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_meton,Meton,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_ser_sulpicius_galba,Ser. Sulpicius Galba,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_varro,Varro,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_xeno,Xeno,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_provincial_governor,provincial governor,public_body,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_quintus_cicero,Quintus Cicero,family_or_household,22.000000,0.026162,0.023702,7,2,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_atticus,Atticus,individual,45.000000,0.025561,0.063975,8,18,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_cluvius,Cluvius,professional_financier,8.000000,0.019521,0.055796,4,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_publicani,publicani,collective_group,3.000000,0.011182,0.005663,1,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_amici,amici,collective_group,3.000000,0.010001,0.011425,2,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_salamis,Salamis,civic_body,5.000000,0.009015,0.016251,1,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_faberius,Faberius,individual,6.000000,0.005549,0.000246,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_terentia,Terentia,family_or_household,7.000000,0.005449,0.005033,2,3,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_philotimus,Philotimus,freedman_or_agent,6.000000,0.005449,0.000230,2,1,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_q_axius,Q. Axius,individual,5.000000,0.004559,0.000246,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_camillus,Camillus,individual,4.000000,0.004422,0.000053,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_tiro,Tiro,freedman_or_agent,11.000000,0.004196,0.005837,2,5,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_eros,Eros,freedman_or_agent,8.000000,0.003495,0.000673,0,4,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_q_paconius_lepta,Q. Paconius Lepta,individual,2.000000,0.003495,0.000525,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_verres,Verres,individual,4.000000,0.003495,0.000427,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_hermippus,Hermippus,individual,3.000000,0.003495,0.000049,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_hermogenes,Hermogenes,individual,3.000000,0.003495,0.000049,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_roman_state_grain_funds,Roman state grain funds,public_body,3.000000,0.003495,0.000033,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_lucullus,L. Lucullus,individual,3.000000,0.003495,0.000025,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_pontius,L. Pontius,individual,3.000000,0.003495,0.000025,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_p_scipio,P. Scipio,individual,3.000000,0.003495,0.000025,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_tullia,Tullia,family_or_household,5.000000,0.003495,0.000000,0,3,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_balbus,Balbus,individual,4.000000,0.003495,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_cluvius_procurators,Cluvius procurators,collective_group,3.000000,0.003495,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_appius_claudius,Appius Claudius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_appuleius,Appuleius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_ateius_capito,Ateius Capito,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_cn_sallustius,Cn. Sallustius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_d_iunius_brutus,D. Iunius Brutus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_culleolus,L. Culleolus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_ligus,L. Ligus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_matinius,Matinius,professional_financier,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_meton,Meton,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_minucius_thermus,Minucius Thermus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_pomponia,Pomponia,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_q_titinius,Q. Titinius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_scaptius,Scaptius,professional_financier,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_senate,Senate,public_body,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_servilius,Servilius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_sex_naevius,Sex. Naevius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_varro,Varro,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_xeno,Xeno,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_procuratores,procuratores,collective_group,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_brutus_albinus,Brutus Albinus,individual,1.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_ser_sulpicius_galba,Ser. Sulpicius Galba,individual,1.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_provincial_governor,provincial governor,public_body,1.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_quintus_cicero,Quintus Cicero,family_or_household,22.000000,0.026202,0.021426,7,2,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_atticus,Atticus,individual,45.000000,0.024496,0.057619,8,18,third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_cluvius,Cluvius,professional_financier,8.000000,0.018360,0.050464,4,0,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_publicani,publicani,collective_group,3.000000,0.010552,0.005121,1,0,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_amici,amici,collective_group,3.000000,0.009572,0.010331,2,0,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_salamis,Salamis,civic_body,5.000000,0.008491,0.014702,1,0,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_tiro,Tiro,freedman_or_agent,13.000000,0.008414,0.005277,2,5,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_faberius,Faberius,individual,6.000000,0.005239,0.000221,1,2,third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_terentia,Terentia,family_or_household,7.000000,0.005127,0.004542,2,3,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_philotimus,Philotimus,freedman_or_agent,6.000000,0.005127,0.000206,2,1,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_q_axius,Q. Axius,individual,5.000000,0.004310,0.000221,1,2,third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_camillus,Camillus,individual,4.000000,0.004150,0.000047,1,2,third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_eros,Eros,freedman_or_agent,8.000000,0.003279,0.000603,0,4,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
